sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"café region normal , simpl , com toda as opçõ regionai , ma sem muito destaqu .",0,1,0,0,0,0,0,0
preço um pouco salgado .,0,0,0,0,0,0,1,0
"valeu a pena cada centavo , atendimento muito bom e carn boa .",0,0,1,0,0,0,1,1
rodízio maravilhoso belém melhor atendent,0,0,1,0,0,0,0,1
"ambient agradável , todo temático e ele dispo de cerveja de fabricação própria .",1,1,0,0,0,0,0,0
péssimo atendimento .,0,0,0,0,0,0,0,1
lugar muito bom para conversar e excelent opçõ de cardápio .,0,0,1,1,0,0,0,0
"comida ao ponto certo e super gostoso , para quem veio buscar informação sobr o local e atendimento , super indico !",0,0,1,0,0,0,0,1
"ótimo barzinho , com musica ao vivo , mesa na calçada e na rua , servem um bolinho de bacalhau divino , acompanhado sempr de uma cerveja ou chopp gelado .",1,1,1,1,0,0,0,0
"no geral é um bom happi hour e restaurant , tem muita opçõ de bebida e vinho e os petisco são gostoso .",0,1,1,1,0,0,0,0
"lugar agradável , comida mto bem feita .",0,0,1,1,0,0,0,0
"um ótimo restaurant , não perd o padrão do coco bambu de fortaleza .",0,0,0,1,0,0,0,0
"lugar agradável para um lanch da tard com as amiga , comida de qualidad e ótimo atendimento .",0,0,1,1,0,0,0,1
"muito bom atendimento e pizza deliciosa , gostei muito do rodízio",0,0,1,0,0,0,0,1
custo benefício alto .,0,0,0,0,0,0,1,0
petisco excelent e cerveja mega geladaaa,0,1,1,0,0,0,0,0
"ambient agradável espetacular , excelent atendimento , comida maravilhosa , tradicion restaurant com comida típica .",1,0,1,1,0,0,0,1
ambient muito legal com musica boa ( rock leve ) e o hambúrguer também estava saboroso .,1,0,1,0,0,0,0,0
"cerveja muito gelada , coámida maravilhosa a banana frita sem comentário nossa tudo de bom .",0,1,1,0,0,0,0,0
"localizado em uma esquina com doi ambient , térreo e andar superior sem climatização , apena com auxílio de ventilador .",1,0,0,0,0,0,0,0
"os atendent são super atencioso e tem o melhor valor de bebida de manau , já que uma coca de 1 l custa 3,00 ?",0,0,0,0,0,0,1,1
"local super agradável , atendimento muito bom , porçõ muito gostosa .",0,0,0,1,0,0,0,1
"estão de parabén , além de um atendimento excelent pelo garçom filip faria e ambient agradável , os prato com camarão são mravilhoso , e recomendo pedirem a torta trufada .",0,0,1,0,0,0,0,1
"excelent e agradável local para reunir , tomar um café e comer o melhor pão da cidad !",0,0,1,1,0,0,0,0
ótimo lugar,0,0,0,1,0,0,0,0
preço justo !,0,0,0,0,0,0,1,0
mai uma ótima opção em manau !,0,0,0,1,0,0,0,0
"ótimo lugar , atendimento maravilhoso !",0,0,0,1,0,0,0,1
ameeiii ... lugar cheio de lembrança do grand intelectuai dess estado ..,0,0,0,0,0,1,0,0
pão de qualidad ruim .,0,0,1,0,0,0,0,0
"ambient familiar , descontraído , ideal para levar a família , restaurant conta com um suculento bufe , os garçon são super educado , estacionamento amplo , bem localizado , comodidad na forma de pagamento e ambient espaçoso .",1,0,1,0,1,0,0,1
ambient rústico com vista para o teatro amazona .,1,0,0,0,0,0,0,0
"custo benefício ótimo , preço justo .",0,0,0,0,0,0,1,0
"de prato princip foi arroz com camarão , pirarucu defumado e tomat .",0,0,1,0,0,0,0,0
"lugar super aconchegant , em ótima localização , serviço de manobrista .. buffet variado e rodízio com carn varia",1,0,1,0,1,0,0,0
mantém um boa tradição do churrasco,0,0,1,0,0,0,0,0
"chegando já deparei com um estacionamento amplo , o ambient é bastant region caboclo , com mesa e cadeira de madeira , super decorado com imagen de animai silvestr , o cardápio e bastant variado , local limpo e bastant ventilado , vale a pena ir com a família e amigo .",1,0,1,0,1,0,0,0
uma da melhor pizzaria de manau,0,0,0,1,0,0,0,0
muito bom atendimento do garçom fernando e ótima comida ! ! !,0,0,1,0,0,0,0,1
"o restaurant a comida ótima , arejado , bebida gelada .",0,1,1,0,0,0,0,0
"excelent comida , bom preço , prato variado e ótimo atendimento .",0,0,1,0,0,0,1,1
ótimo lugar para quem busca a experiência e delícia da culinária italiana .,0,0,1,0,0,0,0,0
receptividad é um do ponto mai fort daqui !,0,0,0,0,0,0,0,1
"ambient agradável , pé direito alto , situa-s no segundo andar do prédio .",1,0,0,0,0,0,0,0
"( tradução do googl ) bar tradicion no centro de manau , a pouco passo do teatro , preço acessível de bebida ( origin ) bar tradicion en el centro de manau , a poco paso del teatro , precio acces de la bebida",0,0,0,1,0,0,1,0
"ambient agradável , comida deliciosa e atendimento excelent .",1,0,1,0,0,0,0,1
"área kid , ambient climatizado e o melhor peix da cidad por um preço justo !",1,0,1,0,0,0,1,0
uma boa opção .,0,0,0,1,0,0,0,0
"melhor opção de comida portuguesa sofisticada , com preço extremament salgado , porém , tudo impecável , atendimento , sabor e experiência .",0,0,1,0,0,0,1,0
"uma boa pedida é o cordeiro , muito bom !",0,0,1,0,0,0,0,0
"musica boa , ambient bom , gent descontraída , bacana .",1,0,0,0,0,0,0,0
ótimo atendimento .,0,0,0,0,0,0,0,1
"comida boa , lugar agradável , bom atendimento , brinquedoteca , vale a pena ir .",0,0,1,1,0,0,0,1
além da banana frita deliciosa .,0,0,1,0,0,0,0,0
"local agradável , com uma culinária region saborosa e requintada .",0,0,1,1,0,0,0,0
"no atendeu sa melhor forma , me serviu um peix que eu ... mai",0,0,0,0,0,0,0,1
"ambient ótimo , jantar delicioso e atendimento super agradável pelo garçom bruno em conjunto com o ricardo , voltarei e espero ser atendida por ele novament .",1,0,0,0,0,0,0,1
"é um local sensacion , ambient calmo e tranquilo .",1,0,0,1,0,0,0,0
"ótimo ambient , total respeito as norma de segurança por conta da pandemia , comida de boa qualidad com um preço justo .",1,0,1,0,0,0,1,0
"restaurant confortável , amplo , decoração de bom gosto , ar condicionado perfeito , música ao vivo discreta , muito bon serviço de maitr e garçon .",1,0,0,1,0,0,0,1
"poderia ter um preço mai acessívei , e isso seria de forma simpl : tendo como opção tapioca menor ou individuai .",0,0,1,0,0,0,1,0
grand variedad .,0,0,1,0,0,0,0,0
"se eu tivess que pedir um último pedido de refeição , seria o cachorro quent envolto em carn de porco .",0,0,1,0,0,0,0,0
excelent opção !,0,0,0,1,0,0,0,0
ótimo bar ond se encontra um boa cerveja gelada e ótimo pagod ..,1,1,0,1,0,0,0,0
para os ribeirinho amazônico ‘ banzeiro ’ é a agitação da água feita pelo vento .,0,0,0,0,0,1,0,0
"muito bom , ambient familiar .",1,0,0,0,0,0,0,0
estar em manau e não desfrutar do sabor do alentejo é quas uma heresia ! ! !,0,0,0,1,0,0,0,0
delicioso tambaqui com pirão e farofa com banana .,0,0,1,0,0,0,0,0
"o café region priscila é uma excelent opção para quem quer uma refeição diversificada , poi lá você muita comida típica : tapioca de vário sabor , bolo diverso - vale a pena conferir o bolo de aimpim com cobertura de calda de cupuaçu .",0,0,1,0,0,0,0,0
"excelent restaurant , ótimo preço e ambient bacana .",1,0,0,1,0,0,0,1
loval familiar e muito agradável,0,0,0,1,0,0,0,0
é uma restaurant que possui doi ambient um mai tradicion puxando pra cozinha portuguesa e outro mai moderno !,1,0,0,0,0,0,0,0
o chop caseiro é bom ma o atendimento deixa a desejar .,0,1,0,0,0,0,0,1
"cerveja geladissima , bom atendimento , ótimo preço e cardápio variado , ambient climatizado .",1,1,1,0,0,0,1,1
comida muito boa atendimento bom e rápido .,0,0,1,0,0,0,0,1
"presencialment , nunca passei por uma experiência ruim lá .",0,0,0,1,0,0,0,0
há ano com a melhor carn de sol de manau .,0,0,1,0,0,0,0,0
"pizza boa , preço bom , playground para as criança .",1,0,1,0,0,0,1,0
preço acessívei .,0,0,0,0,0,0,1,0
cardápio com preço muito honesto vale conferir o brigadeiro de peix não esquec de curtir um sup ! !,1,0,1,0,0,0,1,0
"ótimo atendimento , comida gostosa , ambient aconchegant .",1,0,1,0,0,0,0,1
"tem um ótimo atendimento e uma comida excelent , ambient agradável um bom lugar para comemorar algo especi .",1,0,1,0,0,0,0,1
lugar agradável para um bom papo e cerveja gelada !,0,1,0,1,0,0,0,0
ambient adequado .,1,0,0,0,0,0,0,0
foi boa ... só precisam trocar os monitor que ainda são tv 's de tubo ... fora isso tudo bom .. atendimento excelent bom preço e bem climatizado .,1,0,0,0,0,0,1,1
"muito boa surpresa em serviço , comida region muito boa , lugar extremament agradável e muito bom serviço , com o pessoal muito prestativo e atencioso ... muito bom vale a pena ir .",1,0,1,1,0,0,0,1
preço justo .,0,0,0,0,0,0,1,0
"boa qualidad da comida e bom atendimento , porém os preço são alto .",0,0,1,0,0,0,1,1
o restaurant ainda não adicion grand part do iten popular do amazona no cardápio preferindo manter o que toda as franquia possuem .,0,0,0,0,0,1,0,0
lugar aconchegant .,1,0,0,0,0,0,0,0
"sopei da régio amazônica são uma maravilha e nest restaurant prepararam de forma especi , apesar de eu ter gostado muito também de outro restaurant bem simplezinho perto do rio negro .",0,0,1,0,0,0,0,0
lugar otimo e agradável .,0,0,0,1,0,0,0,0
melhor opção de gastronomia japonesa na cidad de manau não tem igual toda minha familia ador magnifico ! ! !,0,0,1,1,0,0,0,0
aí o rapaz me inform que deveria falar com o dono .. aí o dono autoriz mediant uma quantia de 35 reai .... afff estava de palhaçada se foss por um preço razoável pagaria sem problema .,0,0,0,0,0,0,1,0
"lugar muito bom para ir com a família , de toda as veze que já fui foram experiência incrívei .",0,0,0,1,0,0,0,0
"a comida excelent , ma já não se pode dizer o mesmo da recepção , que pelo ocorrido escolhem a vista quem desejam atend de bom grado .",0,0,1,0,0,0,0,1
excelent atendimento eu e minha família fomo muito bem atendido parabén a recepção tive um ótimo atendimento pelo garson bruno comida maravilhosa e ainda tivemo uma mesa ótima escolhida pela recepcionista joici que também está de parabén obrigado coco bambu ...,0,0,0,0,0,0,0,1
"muito interessant a decoração temática , fora o sabor que é surpreendent .",1,0,1,0,0,0,0,0
"quas sempr , a comida servida é de excelent qualidad , porém a quantidad de carn que é servida no prato é muito pouca .",0,0,1,0,0,0,0,0
"a comida dest local é muito boa , com preço um pouco salgado .",0,0,1,0,0,0,1,0
"local amplo , cafe bom .",1,1,0,0,0,0,0,0
"a língua bovina deu um toqu todo especi , muito macia e sabor inigualável .",0,0,1,0,0,0,0,0
"ótimo atendimento desd a entrada , do garçon erick ... mamma mia casa de rodízio está de parabén , ambient muito agradável ?",1,0,1,0,0,0,0,1
ambient agradável com o melhor da culinária peruana e local .,1,0,1,0,0,0,0,0
"um ambient super agradável , com atendimento excelent e a comida muito saborosa .",1,0,1,0,0,0,0,1
a piscina para criança imprópria para o banho .,1,0,0,0,0,0,0,0
ótimo lugar e comida deliciosa !,0,0,1,1,0,0,0,0
"ótimo ambient , comida deliciosa , cerveja gelada e o atendimento fantástico do izaquiel , sempr atencioso e com ótima dica ! !",1,1,1,0,0,0,0,1
excelent atendimento .,0,0,0,0,0,0,0,1
"comida de boa qualidad , ótimo atendimento ambient muito agradável !",1,0,1,0,0,0,0,1
"excelent bar com boa música , porem o atendimento é um pouco demorado e o local é bem apertado",1,0,0,0,0,0,0,1
para os ribeirinho amazônico ‘ banzeiro ’ é a agitação da água feita pelo vento .,0,0,0,0,0,1,0,0
"uma variedad de doce , ambient gostoso , iluminação agradável , atendimento nota 10 .",1,0,1,0,0,0,0,1
"ótimo produto , maravilhoso ! ! !",0,0,1,0,0,0,0,0
"o clima é super agradável , recomendo tanto pra encontro em família ou a doi .",1,0,0,1,0,0,0,0
peix maraviloso atendimento muito bom perfeito ambient confortavel bom para festejo com a familia e o preco vale a pena ir degustar do peix amazonico,1,0,1,0,0,0,0,1
lugar bom pra tomar uma cerva no estilo canela de pedreiro ! ! !,0,1,0,0,0,0,0,0
lugar muito agradável .,0,0,0,1,0,0,0,0
"local aconchegant , comida saborosa e o atendimento do sr frança excelent .",1,0,1,0,0,0,0,1
"festa temática , ótima comida e claro , atendimento 100 % obrigado pela vivência .",1,0,1,0,0,0,0,1
ótimo local pra se divertir,0,0,0,1,0,0,0,0
excelent café region em manau .,0,1,0,0,0,0,0,0
meu café preferido com o melhor pão de queijo de manau e atendimento maravilhoso,0,0,1,0,0,0,0,1
muito bom o local boa comida,0,0,1,1,0,0,0,0
"melhor bar de manau , atendimento nota 10000",0,0,0,1,0,0,0,1
"tudo é muito gostoso , porçõ bem servida , a carn ainda não fui em nenhum lugar , em manau , que tivess igual , bem suculenta , macia , de primeira qualidad .",0,0,1,0,0,0,0,0
"péssimo antendimento , mai de 30 minuto esperando atendimento , garçon jogando nossa mesa un para os outro .",0,0,0,0,0,0,0,1
linha de massa com farinha italiana e fermentação natur excelent ... bom preço e sabor sensacion,0,0,1,0,0,0,1,0
excelent ambient .,1,0,0,0,0,0,0,0
ess lugar é o melhor custo benefício .,0,0,0,0,0,0,1,0
não tinha variedad de carn branca .,0,0,1,0,0,0,0,0
bom atendimento .,0,0,0,0,0,0,0,1
boa comida e um bom preço,0,0,1,0,0,0,1,0
excelent atendimento .,0,0,0,0,0,0,0,1
perfeito ... preço atrativo e comida de qualidad além de um ótimo atendimento ..,0,0,1,0,0,0,1,1
"restaurant muito bom , comida maravilhosa , ótimo atendimento , possui estacionamento próprio e tem o preço bom para o nível do restaurant .",0,0,1,1,1,0,1,1
caldinho de peix também muito gostoso !,0,0,1,0,0,0,0,0
peix pirarucu com banana e queijo e sobremesa banana amazônica .,0,0,1,0,0,0,0,0
local muito agradável com música boa,1,0,0,1,0,0,0,0
"existem pizzaria com melhor custo beneficio em manau , o que justificaria o preço seria a suposta qualidad , que não se mantém .",0,0,0,0,0,0,1,0
"ótimo ambient , comida bem saborosa , porém há ponto a serem melhorado , como por exemplo : o pedido de outra mesa foram servido mai rápido que a nossa e ao final , a nossa embalagem para viagen foi trocada e só percebemo quando chegamo em casa !",1,0,1,0,0,0,0,1
"lugar simpl , ma satisfatório .",0,0,0,1,0,0,0,0
"excelent atendimento e o princip , pizza exageradament saborosa !",0,0,1,0,0,0,0,1
"atendimento muito , comida com ótimo sabor !",0,0,1,0,0,0,0,1
"tradicion , ambient agradável , e único a vender um filé alto .",1,0,1,0,0,0,0,0
"boa carn , bon acompanhamento e preço normal para manau .",0,0,1,0,0,0,1,0
"ótimo lugar para reunir a família é os amigo , para comer aquela deliciosa pizza , super indico .",0,0,1,1,0,0,0,0
a melhor carn de sol de manau .,0,0,1,0,0,0,0,0
"ambient agradável com ar refigerado ( importantíssimo nesta cidad ) , decoração com motivo amazônico .",1,0,0,0,0,0,0,0
"40min de espera , estress , calor , carn queimada , valor abusivo para o serviço que é prestado , cheguei a tentar cancelar por vária veze ma sempr pediam desculpa e diziam q meu pedindo estava vindo , achei um descaso total , mentem na lata do client .",1,0,1,0,0,0,1,1
cardápio muito bom !,0,0,1,0,0,0,0,0
só demorei um pouco pra conseguir pagar ma fora isso foi uma boa experiência .,0,0,0,1,0,0,0,1
"melhor buffet sem igual , variedad e um ambient aconchegant !",1,0,1,0,0,0,0,0
"ambient bem familiar , ótimo atendimento , cardápio eclético e excelent rodízio",1,0,1,0,0,0,0,1
"muito bom , cerveja geladinha e vário petisco",0,1,1,0,0,0,0,0
"energia muito boa e ótimo pra curtir um bom som , amigo ou família , tomar banho de rio ... tudo pra ter um ótimo dia no rio negro .",1,0,0,1,0,0,0,0
"amei , ótimo ambient para confraternizaçõ !",1,0,0,0,0,0,0,0
"o tambaqui assado é a sua melhor pedida , o melhor peix amazônico é servido de forma assado , com condimento regionai , excelent tempero ... mai",0,0,1,0,0,0,0,0
"bom ambient e boa comida , preço acessível .",1,0,1,0,0,0,1,0
local ruim pra estacionar,0,0,0,0,1,0,0,0
"restaurant temático , ótima música , pizza deliciosa e preço justo .",1,0,1,1,0,0,1,0
"lugar aconchegant , bem servido , muito agradável .",1,0,0,0,0,0,0,1
"foram bon momento em um excelent restaurant , com um atendimento perfeito e um cardápio delicioso ?",0,0,1,1,0,0,0,1
excelent rodízio de massa,0,0,1,0,0,0,0,0
"atendimento excelent , comida deliciosa , e preço acessível .",0,0,1,0,0,0,1,1
café muito bom .,0,1,0,0,0,0,0,0
"comida gostosa , ma um pouco demorado",0,0,1,0,0,0,0,1
lugar agradável porém difícil arrumar um estacionamento no horário do almoço no dia útei aceitam o ticket alimentação,0,0,0,1,1,0,0,0
"extremament recomendo , definitivament um do melhor lugar para se almoçar ou jantar em manau .",0,0,0,1,0,0,0,0
ótimo ambient e variedad de sopa .,1,0,1,0,0,0,0,0
"ambient agradável e bom atendimento , especialment o rapaz sauro",1,0,0,0,0,0,0,1
"ótimo local , ambient familiar .",1,0,0,1,0,0,0,0
sempr perfeito boa comida bom atendimento é bom preço ambient super agradável estacionamento facil,0,0,1,0,1,0,1,1
um lugar muito bom para almoço principalment ao sábado ... tem uma feijoada daquela ... cerveja muito gelada .,0,1,1,1,0,0,0,0
pedimo o pirarucu ao molho de shimeji com arroz negro e pure de mandioquinha .,0,0,1,0,0,0,0,0
lugar agradável .,0,0,0,1,0,0,0,0
"comida razoável , caro para o que oferec .",0,0,1,0,0,0,1,0
the fri are n't much definit not worth 10 dollar,0,0,0,0,0,1,0,0
"comida deliciosa , variedad de prato quent e salada , bom preço , atendimento maravilhoso , banheiro limpinho , ar condicionado 2 ambient .",1,0,1,0,0,0,1,1
"serv bem , boa mesa",0,0,0,0,0,0,0,1
comida maravilhosa !,0,0,1,0,0,0,0,0
um ambient top com atendimento de primeira e com prato de fruto do mar delicioso acompanhado com um bom vinho,1,1,1,0,0,0,0,1
local agradável e de fácil acesso .,0,0,0,1,1,0,0,0
"comida boa , lugar agradável ?",0,0,1,1,0,0,0,0
"espero , numa próxima oportunidad , reecontrá-lo promovido em sua tarefa , poi todo têm potenci para essa chanc ... mai",0,0,0,0,0,1,0,0
ambient agradável .,1,0,0,0,0,0,0,0
atendimento excelent e preço super acessível,0,0,0,0,0,0,1,1
"ambient agradável e atendimento cordial , ja os preço são muito caro .",1,0,0,0,0,0,1,1
considero um excelent centro gastronômico pela diversidad de prato e sobremesa ofertado .,0,0,1,1,0,0,0,0
um do melhor restaurant requintado de manau !,0,0,0,1,0,0,0,0
"comida boa , porém pagar por uma vela de aniversário é surreal .",0,0,1,0,0,0,1,0
solicitei cebola extra e o estabelecimento atendeu meu pedido .,0,0,0,0,0,0,0,1
"ambient incrível , e o melhor da culinária portuguesa e argentina , incluindo uma excelent carta de vinho .",1,1,1,0,0,0,0,0
flutuant com uma vista incrível para o pôr do sol ... sempr quando posso estou no abaré recarregando as minha energia ! ! !,1,0,0,0,0,0,0,0
"comida excelent , porém o atendimento pó covid me surpreendeu ( não sei se era garcon novato ) enfim não tive uma boa experiência , não me senti tendo o padrão de atendimento pelo qual paguei .",0,0,1,0,0,0,0,1
atendimento impecável .,0,0,0,0,0,0,0,1
na quinta pizza em dobro e na quarta toda as pizza num valor fixo .,0,0,0,0,0,1,0,0
ambient fantástico e familiar ... super recomendo,1,0,0,1,0,0,0,0
flutuant fantástico e uma peixada inabalável,0,0,1,1,0,0,0,0
a chefe debora shornik conseguiu reinterpretar de forma sutil a diversidad do sabor amazonico .,0,0,1,0,0,0,0,0
"clima agradavel , e muita gent bonita",1,0,0,0,0,0,0,0
"minha sugestão de prato é : a entrada de dadinho de tapioca , e como prato princip o lombo premium de tambaqui !",0,0,1,0,0,0,0,0
pela 2° vez que estiv foi decepção total .,0,0,0,1,0,0,0,0
experiência gastronômica de primeira .,0,0,1,0,0,0,0,0
"os produto da torta & torta são delicioso e de boa qualidad , o preço é que é um pouco elevado , no entanto , ainda não encontrei em outro lugar uma torta de limão como a de lá .",0,0,1,0,0,0,1,0
"ótimo , comida gostosa , ambient tranquilo e atendimento nota 1000",1,0,1,0,0,0,0,1
dessa forma tenho um preço igual para um produto menor .,0,0,0,0,0,0,1,0
uma experiência maravilhosa pra quem deseja conhec um pouco da cozinha mexicana .,0,0,1,0,0,0,0,0
"molho espetacular , preço justo e bom atendimento .",0,0,1,0,0,0,1,1
ótimo custo benefício .,0,0,0,0,0,0,1,0
"excelent opção gastronômica e para quem gosta de cerveja artesanai , tem alguma com o rótulo do próprio dedé , nest dia destaco o atendimento da funcionária eliana que nossa atendeu com muita eficiência e simpatia , inclus quando percebeu que o queijo coalho estava queimado embaixo trocou ... mai",0,1,1,0,0,0,0,1
valeu pela ida ao bufalo pela variedad de carn e acompanhamento alem do preco ser muito bom,0,0,1,0,0,0,1,0
"infelizment não se pode dizer o mesmo do carro chefe da casa , o camarão internacion não é mai o mesmo , pouquíssimo camarõ , ao contrário do que era no incio .",0,0,1,0,0,0,0,0
"uma delícia , recomendo essa opção de prato , ma ela é mai para os amant de queijo .",0,0,1,0,0,0,0,0
"um lugar muito bom , com um ótimo atendimento .",0,0,0,1,0,0,0,1
"não tem boa qualidad , atendimento bagunçado !",0,0,0,0,0,0,0,1
cafe expresso delicioso !,0,1,0,0,0,0,0,0
"ótimo prato , comida e ambient muito bon , atendimento eficient , garçom ricardo josé super atencioso e educado",1,0,1,0,0,0,0,1
o melhor açai que já comi é muito lanch saboroso !,0,0,1,0,0,0,0,0
cerveja bem gelada !,0,1,0,0,0,0,0,0
"comida ótima com um bom preço , e um ótimo atendimento .",0,0,1,0,0,0,1,1
no valor do rodízio estão incluso as bebida ( suco naturai e refrigerant ) .,0,0,0,0,0,1,0,0
o melhor lugar pra tomar um café region !,0,1,0,0,0,0,0,0
"comida muito boa , ambient rústico e muito agradável , ótima pedida pra happi hour , às veze deixa a desejar no atendimento .",1,0,1,0,0,0,0,1
josé gregório excelent ! ! !,0,0,0,0,0,0,0,1
único problema é o barulho .,1,0,0,0,0,0,0,0
"excelent atendimento , culinária impecável , ambient bonito , apesar de não ser climatizado o clima ambient é agradável , quanto ao preço .. , estão na média da peixaria de manau , com exceção da sobremesa que está fora da realidad , uma fatia de pudim a r $ 15 reai acho muito caro , sem contar que são pouca opçõ de sobremesa , um outro ponto que tenho que parabenizar é o fato de disponibilizarem um lugar agradável para aguardar enquanto não dispõem de mesa desocupada , muito bem organizado",1,0,1,0,0,0,1,1
"comida deliciosa , ambient agradável e funcionário atencioso",1,0,1,0,0,0,0,1
"pior picanha que ja comemo na vida , gosto horrível , ao provar a carn senti um gosto de plastico , com fumaça , impossível comer , pensei vou comer os acompanhamento , o pior tudo ruim , arroz , farofa , vinagret e maiones , só conseguimo botar a primeira colher na boca e ... não conseguimo mai comer .",0,0,1,0,0,0,0,0
fomo na unidad do shop manauara ... ambient excelent .,1,0,0,0,0,0,0,0
"minha irmã me levou a ess restaurant flutuant , que é um do nosso costum manauara .",0,0,0,0,0,1,0,0
atendimento péssimo,0,0,0,0,0,0,0,1
"experiência muito boa , pista e bola de bolich sem defeito , boa comida ... um bom lugar pra se divertir !",1,0,1,1,0,0,0,0
"preço justo , comida ótima .",0,0,1,0,0,0,1,0
ambient agradável e excelent atendimento !,1,0,0,0,0,0,0,1
"uma da melhor carn de picanha de manau , já comi em vário restaurant ma nada supera uma picanha deliciosa e suculenta do adolpho !",0,0,1,0,0,0,0,0
"excelent atendimento do rafael viera ambient bonito , musica prazerosa .",1,0,0,0,0,0,0,1
"espaçoso , ótimo atendimento , preço super acessível , ótimo serviço de rodízio !",0,0,0,0,0,0,1,1
"muito caro , porém , vale à pena gastar um pouco pelo ótimo ambient , localização e principalment a comida .",1,0,1,0,1,0,1,0
"simplesment um do melhor senão o melhor para comer um hambúrguer delicioso , ambient interno climatizado e externo arejado , estacionamento amplo e descoberto ( o que não faz a menor diferença ) , e o princip , os melhor hambúrguer da cidad de manau !",1,0,1,0,1,0,0,0
uma ótima opção de rodízio de carn !,0,0,1,0,0,0,0,0
experiência excelent !,0,0,0,1,0,0,0,0
servem um caldinho de peix de entrada maravilhoso .,0,0,1,0,0,0,0,0
o atendimento é excelent e o ambient animadíssimo ! ! !,1,0,0,0,0,0,0,1
preço justo !,0,0,0,0,0,0,1,0
ótimo restaurant .... comida region do amazona no capricho ! ! !,0,0,1,1,0,0,0,0
"local agradável , não faz calor , tem o ambient externo e o climatizado .",1,0,0,1,0,0,0,0
a comida é ótima e o preço muito bom !,0,0,1,0,0,0,1,0
"ótimo atendimento , e a comida muito boa ....",0,0,1,0,0,0,0,1
"pedi o pizzaiolo e a rede de pescador , muito bon , farto e saboroso !",0,0,1,0,0,0,0,0
"mto bom , local perfeito para conhec um café region em manau .",0,1,0,0,0,0,0,0
recomendo na foto lombo de tambaqui com farofa de bacon de pirarucu,0,0,1,0,0,0,0,0
lugar para você relaxar tomar aquela cerveja gelada comer aquel petisco de carn seca e comer aquel tambaqui assado na hora com a família ou amigo,0,1,1,0,0,0,0,0
"variedad em alimentação , lugar aconchegant e limpo , preço alto devido a grand variedad .",1,0,1,0,0,0,1,0
lugar maneiro ... ma kd o rock de quinta ? ?,0,0,0,1,0,0,0,0
"estão com ótima promoçõ e o happi hour bem tendencioso , além da música ao vivo !",1,0,0,0,0,0,1,0
"lugar otimo , atendimento excelent e comida maravilhosa .",0,0,1,1,0,0,0,1
"o abaré é uma ótima opção de laser para toda categoria de pessoa , família , amigo , etc , cerveja gelada , suco refrigerant , ótima comida e porçõ de petisco , local limpo para banho .",1,1,1,1,0,0,0,0
melhor churrascaria de manau .,0,0,0,1,0,0,0,0
muito agradável com um do melhor rodízio de sopa de manau,0,0,1,0,0,0,0,0
"com um estilo rústico e muito agradável , em uma excelent localização .",1,0,0,0,1,0,0,0
"barzinho situado em lindo casarão histórico , ambient descontraído e bem frequentado .",1,0,0,0,1,0,0,0
localização fenomen ao lado do teatro amazona no centro histórico dá cidad .,0,0,0,0,1,0,0,0
o banzeiro é um do melhor restaurant de comida típica de manau .,0,0,0,1,0,0,0,0
"ambient agradável , bom bacalhau e boa carta de vinho .",1,1,1,0,0,0,0,0
melhor culinária,0,0,1,0,0,0,0,0
"local agradável , confortável e com um ambient único , recomendo a todo .",1,0,0,1,0,0,0,0
mai uma vez ótimo ! !,0,0,0,1,0,0,0,0
"ambient bem climatizado , espaço kid amplo com monitora , atendimento rápido , todo são muito cordiai , destaqu para eduardo , muito atencioso , e davi , super engraçado ! ! !",1,0,0,0,0,0,0,1
"local lindíssimo , atendimento excelent , organizado e comida saborosa .",1,0,1,0,0,0,0,1
serviço muito correto e preço justíssimo .,0,0,0,0,0,0,1,1
"melhor restaurant de manau , ótimo atendimento lugar climatizado limpo ótima comida peix fresquinho maravilhoso ...",1,0,1,1,0,0,0,1
